packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc5900000",saddr="20.200.245.247",sport="22",daddr="192.168.239.132",dport="42390",seq="1529375494",ack="2838427057",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
